Period,A Interest Due,A Interest Paid,A Interest Shortfall,A Principal Due,A Principal Paid,A Principal Shortfall,A Balance,A Cash Flow,B Interest Due,B Interest Paid,B Interest Shortfall,B Principal Due,B Principal Paid,B Principal Shortfall,B Balance,B Cash Flow,Cash Reserve
21,169043.04307596054,169043.04307596054,0.0,407500.2865280551,407500.2865280551,0.0,15196472.920483686,576543.3296040157,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,596108.6849576675,
22,164628.45663857326,164628.45663857326,0.0,413131.8776512716,413131.8776512716,0.0,14783341.042832414,577760.3342898448,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,612311.4868745399,
23,160152.86129735116,160152.86129735116,0.0,418842.30426533706,418842.30426533706,0.0,14364498.738567077,578995.1655626883,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,627279.4575185694,
24,155615.40300114334,155615.40300114334,0.0,424632.6837137818,424632.6837137818,0.0,13939866.054853294,580248.0867149251,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,640994.5070103621,
25,151015.21559424401,151015.21559424401,0.0,430504.1493644472,430504.1493644472,0.0,13509361.905488847,581519.3649586912,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,653438.2782583877,
26,146351.42064279583,146351.42064279583,0.0,436457.8508418881,436457.8508418881,0.0,13072904.05464696,582809.271484684,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,664592.1429804215,
27,141623.1272586754,141623.1272586754,0.0,442494.95426316664,442494.95426316664,0.0,12630409.100383792,584118.081521842,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,674437.1976652973,
28,136829.43192082443,136829.43192082443,0.0,448616.6424771174,448616.6424771174,0.0,12181792.457906675,585446.0743979418,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,682954.2594740726,
29,131969.41829398897,131969.41829398897,0.0,454824.1153071133,454824.1153071133,0.0,11726968.342599561,586793.5336011022,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,690123.8620796871,
30,127042.15704482858,127042.15704482858,0.0,461118.589797391,461118.589797391,0.0,11265849.75280217,588160.7468422195,108691.76821804165,108691.76821804165,0.0,0.0,0.0,0.0,5670874.863549999,108691.76821804165,695926.2514441848,
